M02	A young male grim reaper in stark BLACK Joseon robes and 갓 hat, holding a blank white ledger scroll. Utterly expressionless, pale, beautiful in a cold statue way. Colorless void behind, one thin white light. Palette: pure black, bone white, ash grey, a single ink-red seal mark.
M03	The young male judge of the underworld court (명부 판관) in vermilion官服 official robes with gold embroidery, holding a writing brush over an open ledger. Imperious, chin down, eyes up at the viewer. Behind him, towering dark shelves of scrolls. Palette: vermilion, imperial gold, deep sepia, black lacquer.
M04	A lonely young ferryman of the river of the dead, wide straw 삿갓 hat shadowing his eyes, holding a paper lantern over black water. Quiet melancholy beauty. Mist, still water, floating lanterns. Palette: ink black, fog grey-blue, warm lantern amber.
M05	A young male shaman (박수무당) in a brilliant scarlet 쾌자 vest over white, shaking brass bells, mid-trance. Wild grin, hair whipping, sweat catching the light. Sparks and paper talismans flying. Palette: scarlet, brass gold, white, torch orange.
M06	A young male shaman standing barefoot on ceremonial blades, white robes and long loose black hair streaming upward, eyes rolled to euphoric white. Wind, paper streamers. Palette: white, silver, storm grey, one thread of red.
M07	A sharp young talisman sorcerer flicking a paper 부적 charm from his fingertips, dozens more suspended in the air around him glowing with red ink. Cocky, one eyebrow up. Palette: rice-paper cream, cinnabar red, ink black, cold blue rim light.
M08	The young god of the Big Dipper (칠성), black robes printed with a living constellation, seven stars orbiting his shoulders. Serene, distant, unreadable. Deep space behind. Palette: midnight indigo, starlight silver-white, faint violet.
M09	A youthful matchmaker god (월하노인) winding a glowing RED THREAD of fate around his fingers, warm affectionate smile, moonlit garden. Genuinely kind and handsome. Palette: moonlit blue-grey, warm red thread, soft peach, pale gold.
M10	A white-haired young immortal sage riding a crane through cloud, robes weightless, expression utterly detached and calm. Ethereal, otherworldly beauty. Palette: cloud white, jade green, pale gold, sky blue.
M11	The Dragon King of the sea as a young man, teal-and-jade scaled mantle, coral crown, water spiraling upward around him. Regal, commanding. Palette: deep ocean teal, jade, pearl white, abyss navy.
M12	An 이무기 — a serpent one step from becoming a dragon — as a young man with black scales creeping up his throat and jaw, horns half-formed, eyes burning with hunger and ambition. Storm clouds, lightning. Palette: obsidian black, storm violet, lightning white, blood gold.
M13	A young 도깨비 goblin with one small horn, a spiked club slung over his shoulder, enormous mischievous grin, fangs showing. Playful and charming rather than scary. Festival lanterns behind. Palette: warm ochre, festival red, night blue, bronze.
M14	The white tiger spirit (백호) as a young man: white hair, tiger ears, faint stripe markings on his cheekbones, feral golden eyes, a low grin. Snow and pine. Palette: snow white, charcoal stripe, gold eye, winter blue shadow.
M15	The three-legged sun crow (삼족오) as an arrogant young man with gold-black feathered mantle, sun disc blazing behind his head like a halo. Chin high, disdainful smirk. Palette: molten gold, crow black, sunset orange, white heat.
M16	A mysterious young man whose left half dissolves into living shadow, only one visible eye glowing faint blue, a slight unreadable smile. Identity unknown. Palette: near-black, smoke grey, one cold blue, pale skin.
